,run,p,reward,agent
684,29,0.7,-1.0,RA
685,29,0.7,0.0,SRA
686,29,0.7,1.0,HA
687,29,0.7,1.0,NSA
688,29,0.7,0.0,naive SA
689,29,0.7,1.0,advanced SA
690,29,0.6,-1.0,RA
691,29,0.6,0.0,SRA
692,29,0.6,0.0,HA
693,29,0.6,1.0,NSA
694,29,0.6,0.0,naive SA
695,29,0.6,1.0,advanced SA
696,30,0.9,-1.0,RA
697,30,0.9,0.0,SRA
698,30,0.9,1.0,HA
699,30,0.9,1.0,NSA
700,30,0.9,1.0,naive SA
701,30,0.9,1.0,advanced SA
702,30,0.8,-1.0,RA
703,30,0.8,0.0,SRA
704,30,0.8,1.0,HA
705,30,0.8,1.0,NSA
706,30,0.8,1.0,naive SA
707,30,0.8,1.0,advanced SA
708,30,0.7,-1.0,RA
709,30,0.7,0.0,SRA
710,30,0.7,0.0,HA
711,30,0.7,1.0,NSA
712,30,0.7,1.0,naive SA
713,30,0.7,1.0,advanced SA
714,30,0.6,-1.0,RA
715,30,0.6,0.0,SRA
716,30,0.6,1.0,HA
717,30,0.6,1.0,NSA
718,30,0.6,0.0,naive SA
719,30,0.6,1.0,advanced SA
720,31,0.9,-1.0,RA
721,31,0.9,0.0,SRA
722,31,0.9,1.0,HA
723,31,0.9,1.0,NSA
724,31,0.9,0.0,naive SA
725,31,0.9,1.0,advanced SA
726,31,0.8,-1.0,RA
727,31,0.8,0.0,SRA
728,31,0.8,1.0,HA
729,31,0.8,1.0,NSA
730,31,0.8,0.0,naive SA
731,31,0.8,1.0,advanced SA
732,31,0.7,-1.0,RA
733,31,0.7,0.0,SRA
734,31,0.7,1.0,HA
735,31,0.7,1.0,NSA
736,31,0.7,1.0,naive SA
737,31,0.7,1.0,advanced SA
738,31,0.6,-1.0,RA
739,31,0.6,0.0,SRA
740,31,0.6,0.0,HA
741,31,0.6,1.0,NSA
742,31,0.6,0.0,naive SA
743,31,0.6,1.0,advanced SA
744,32,0.9,-1.0,RA
745,32,0.9,0.0,SRA
746,32,0.9,1.0,HA
747,32,0.9,1.0,NSA
748,32,0.9,1.0,naive SA
749,32,0.9,1.0,advanced SA
750,32,0.8,-1.0,RA
751,32,0.8,1.0,SRA
752,32,0.8,1.0,HA
753,32,0.8,1.0,NSA
754,32,0.8,0.0,naive SA
755,32,0.8,1.0,advanced SA
756,32,0.7,-1.0,RA
757,32,0.7,0.0,SRA
758,32,0.7,0.0,HA
759,32,0.7,1.0,NSA
760,32,0.7,1.0,naive SA
761,32,0.7,1.0,advanced SA
762,32,0.6,-1.0,RA
763,32,0.6,0.0,SRA
764,32,0.6,0.0,HA
765,32,0.6,1.0,NSA
766,32,0.6,0.0,naive SA
767,32,0.6,1.0,advanced SA
768,33,0.9,0.0,RA
769,33,0.9,0.0,SRA
770,33,0.9,0.0,HA
771,33,0.9,1.0,NSA
772,33,0.9,1.0,naive SA
773,33,0.9,1.0,advanced SA
774,33,0.8,-1.0,RA
775,33,0.8,0.0,SRA
776,33,0.8,1.0,HA
777,33,0.8,1.0,NSA
778,33,0.8,0.0,naive SA
779,33,0.8,1.0,advanced SA
780,33,0.7,-1.0,RA
781,33,0.7,0.0,SRA
782,33,0.7,1.0,HA
783,33,0.7,1.0,NSA
784,33,0.7,1.0,naive SA
785,33,0.7,1.0,advanced SA
786,33,0.6,-1.0,RA
787,33,0.6,0.0,SRA
788,33,0.6,1.0,HA
789,33,0.6,1.0,NSA
790,33,0.6,1.0,naive SA
791,33,0.6,1.0,advanced SA
792,34,0.9,-1.0,RA
793,34,0.9,0.0,SRA
794,34,0.9,1.0,HA
795,34,0.9,1.0,NSA
796,34,0.9,1.0,naive SA
797,34,0.9,1.0,advanced SA
798,34,0.8,-1.0,RA
799,34,0.8,0.0,SRA
800,34,0.8,1.0,HA
801,34,0.8,1.0,NSA
802,34,0.8,0.0,naive SA
803,34,0.8,1.0,advanced SA
804,34,0.7,-1.0,RA
